id,name,street,city,state,phone
1,Zushi Games,5959 Poplar Ave,Memphis,TN,(901) 261-5079
2,Zoo Games,2823 Wilma Rudolph Blvd,Clarksville,TN,(931) 645-8007
3,Zoo Digital Publishing,601 Colonial Rd,Memphis,TN,(901) 685-9240
4,Zenrin,7255 Interstate Dr,Horn Lake,MS,(662) 349-1585
5,Yumedia,160 American Ave,Bowling Green,KY,(270) 842-0013
6,Yuke's,170 Promenade Blvd,Flowood,MS,(601) 919-1415
7,Yeti,6365 I 55 N,Jackson,MS,(601) 956-1150
8,Yamasa Entertainment,3000 E Highland Dr,Jonesboro,AR,(870) 934-9661
9,Yacht Club Games,6143 U S Highway 98,Hattiesburg,MS,(601) 261-5298
10,Xseed Games,5151 Frederica St,Owensboro,KY,(270) 686-7033
11,XS Games,1631 Ring Rd,Elizabethtown,KY,(270) 769-6402
12,Xplosiv,3867 Promenade Pkwy,D'iberville,MS,(228) 233-3301
13,Xing Entertainment,69320 Highway 21,Covington,LA,(985) 871-7093
14,Xicat Interactive,2030 Hammond Square Dr,Hammond,LA,(985) 277-3203
15,Wizard Video Games,4103 Pecanland Mall Dr,Monroe,LA,(318) 361-3781
16,White Park Bay Software,4500 Veterans Memorial Blvd,Metairie,LA,(504) 888-2184
17,Westwood Studios,1401 W Esplanade Ave,Kenner,LA,(504) 617-4859
18,WayForward Technologies,1731 Manhattan Blvd,Harvey,LA,(504) 227-2014
19,Warp,2001 Millerville Rd,Baton Rouge,LA,(225) 272-4275
20,Warner Bros. Interactive Entertainment,6885 Siegen Ln,Baton Rouge,LA,(225) 293-0984
21,Wargaming.net,6625 E Lloyd Expy,Evansville,IN,(812) 402-8500
22,Warashi,4000 1st Ave,Evansville,IN,(812) 426-2218
23,Wanadoo,202 Siemers Dr,Cape Girardeau,MO,(573) 339-1778
24,Vivendi Games,7311 Jefferson Blvd,Louisville,KY,(502) 964-1053
25,Rain Games,3000 W Deyoung St,Marion,IL,(618) 997-8174
26,Rage Software,3600 Mall Rd,Louisville,KY,(502) 456-6768
27,Quintet,4640 Taylorsville Rd,Louisville,KY,(502) 493-8717
28,Quinrose,4174 Westport Rd,Louisville,KY,(502) 992-1039
29,Quest,2209 State St,New Albany,IN,(812) 945-5046
30,Quelle,12975 Shelbyville Rd,Louisville,KY,(502) 992-1237
31,Psygnosis,1125 Veterans Pkwy,Clarksville,IN,(812) 284-4524
32,Prototype,4101 Towne Center Dr,Louisville,KY,(502) 326-9185
33,Princess Soft,131 West Reynolds Rd,Lexington,KY,(859) 273-9403
34,PQube,1940 Pavillon Way,Lexington,KY,(859) 263-7448
35,Pow,3970 SW Archer Rd,Gainesville,FL,(352) 376-5260
36,PopTop Software,250 NW 13th St,Gainesville,FL,(352) 415-4861
37,Popcorn Arcade,1727 Martin Luther King Jr Blvd,Houma,LA,(985) 223-2575
38,PopCap Games,3225 Louisiana Ave,Lafayette,LA,(337) 769-7515
39,Pony Canyon,4313 Ambassador Caffery Pkwy,Lafayette,LA,(337) 406-2536
40,PM Studios,9525 Crosshill Blvd,Jacksonville,FL,(904) 248-4366
41,Plenty,200 Glynn Isle,Brunswick,GA,(912) 261-4868
42,PlayV,6331 Roosevelt Blvd,Jacksonville,FL,(904) 596-1065
43,Playmore,463737 State Rd 200,Yulee,FL,(904) 548-1240
44,Playmates,1490 County Rd 220,Orange Park,FL,(904) 278-8652
45,Playlogic Game Factory,10490 San Jose Blvd,Jacksonville,FL,(904) 268-4334
46,Play It,444 Monument Rd,Jacksonville,FL,(904) 721-4909
47,Pioneer LDC,4567 River City Dr,Jacksonville,FL,(904) 596-0020
48,Pinnacle,9041 Southside Blvd,Jacksonville,FL,(904) 464-0043
49,Piacci,2000 SW College Rd,Ocala,FL,(352) 629-1333